Guiso de tulizio ahumado,Guapi,Cauca,Armadillo blanco
Guiso de cola de babilla,Guapi,Cauca,Babilla
La boa,,Llanos y Amazonas,Boa
Arroz atollado de chambero,Guapi,Cauca,Camarón pequeño de marea
Guiso de pate’ burro,Guapi,Cauca,Caracol grande
Guiso de chulquín,,Cauca,Chulquín
Guiso de cola de babilla,Guapi,Cauca,cocodrilo pequeño
Guiso de ratón de monte ahumado,Guapi,Cauca,Erizo
Tatuco,,Casanare,Iguana
Guiso de Iguana,,San Andrés,Iguana
Huevos de Iguana,Buenaventura,Valle,Iguana
Guiso de iguana,Guapi,Cauca,Iguana
Huevos de Piandé,Guapi,Cauca,Lagarto
Guiso de guagua,Guapi,Cauca,"mamífero,roedor"
Guiso de guatín,Guapi,Cauca,"mamífero,roedor"
Manatí,,Amazonas,Manatí
Arroz atollado de piangua,Guapi,Cauca,Molusco de la Costa Pací ca
Cebiche de piangua,Guapi,Cauca,Molusco de la Costa Pací ca
Hervido de pato pelón,,Llanos ,Pato pelón
Guiso de iguazas,Guapi,Cauca,Patos salvajes
Arroz de lisa,Barranquilla,Atlántico,Pez
Bolitas de pirarucú,,Amazonas,Pez
Guiso de chaupiza,Guapi,Cauca,Pez
Guiso de huevos de sierra,Guapi,Cauca,pez
Sopa de piangua,Buenaventura,Valle,Piangua
Crema de huevos de pescado [tumbacatre],Tumaco,Nariño,picha de toro o tortuga
Sopa de pichón,BuCaramanGa,Santander,Sangre de res
Guiso de toyo,Guapi,Cauca,Tiburón
Arroz atollado de toyo ahumado,Guapi,Cauca,Tiburón chiquito
Arroz con tortuga,,La Guajira,Tortuga
Guiso de tortuga,,Putumayo,Tortuga
Tamales de tortuga de río,Guapi,Cauca,Tortuga
Tortuga en carapacho,Tumaco,Nariño,Tortuga
Pericadas,Arauca,Arauca,Tortuga
Hallacas,Arauca,Arauca,Tortuga
Picadillo de Tortuga,,Amazonas,Tortuga
Pinchos de tortuga,,Putumayo,Tortuga
Sarapaté de charapa,,Amazonas,Tortuga
Torta de huevos de tortuga,,Amazonas,Tortuga
Tortuga,,Casanare,Tortuga
Dulce de huevos de tortuga,,Arauca,Tortuga
Garapacho,Mompós,Bolívar,Tortuga
Guiso guajiro,,Guajira,Tortuga
Guiso de zorra ahumada,Guapi,Cauca,Zorra
