uid,page,pagepdf,name,region,depto,muni,deptos,ings,instruc,dificultad,raciones_min,raciones_max,tiempo,tiempo_mins,tiempo_dias,line_original
abasute,127,127,Abasute,Llanos y Amazonia,Arauca,NA,NA,2 libras (1 kg) de huevos (o carne de pescado molida) · 1 taza de guiso [ver p. 128] · sal y pimienta a gusto.,"Se mezclan los huevos (o la carne de pescado molida) con el guiso, se revuelve bien y se van formando bollos como huevos alargados, que se envuelven en hojas de bijao, se amarran y se ponen a asar al fuego sobre una parrilla volteándolos, o se hornean a 300°, por 30 minutos.",2,6,8,35 minutos,35,NA,"Abasute Arauca Bollos de huevos o carne de pescado Grado de dificultad ** | Tiempo de preparación: 35 minutos | Raciones: 6 a 8 2 libras (1 kg) de huevos (o carne de pescado molida) · 1 taza de guiso [ver p. 128] · sal y pimienta a gusto. Se mezclan los huevos (o la carne de pescado molida) con el guiso, se revuelve bien y se van formando bollos como huevos alargados, que se envuelven en hojas de bijao, se amarran y se ponen a asar al fuego sobre una parrilla volteándolos, o se hornean a 300°, por 30 minutos."
aborrajados,158,158,Aborrajados,"Valle, Cauca y Nariño",Valle,NA,NA,4 plátanos bien maduros · ½ libra (250 gr) de queso blanco · 2 huevos batidos · 1 cucharadita de soda · 4 cucharadas de harina de trigo · aceite · sal a gusto.,"Se pelan los plátanos y se hacen las tajadas cortando al sesgo, se fríen hasta dorar, aplanándolas un poco. Se corta el queso en rebanadas delgadas (un poco menores del tamaño de las tajadas). Se mezclan los huevos con 2 cucharadas de harina, la soda y la sal, y el resto de la harina se pone en un plato. Se forman los emparedados con dos tajadas de plátano y una de queso en la mitad, se espolvorean con la harina restante y se rebozan en el batido, poniéndolos inmediatamente a freír; deben dorar- se. Se dejan escurrir y se sirven muy calientes.",1,Raciones 6,8,20 minutos,20,NA,"Aborrajados Va l l e Grado de dificultad * | Tiempo de preparación: 20 minutos | Raciones 6 a 8 4 plátanos bien maduros · ½ libra (250 gr) de queso blanco · 2 huevos batidos · 1 cucharadita de soda · 4 cucharadas de harina de trigo · aceite · sal a gusto. Se pelan los plátanos y se hacen las tajadas cortando al sesgo, se fríen hasta dorar, aplanándolas un poco. Se corta el queso en rebanadas delgadas (un poco menores del tamaño de las tajadas). Se mezclan los huevos con 2 cucharadas de harina, la soda y la sal, y el resto de la harina se pone en un plato. Se forman los emparedados con dos tajadas de plátano y una de queso en la mitad, se espolvorean con la harina restante y se rebozan en el batido, poniéndolos inmediatamente a freír; deben dorar- se. Se dejan escurrir y se sirven muy calientes."
aborrajados-de-pescado,42,42,Aborrajados de pescado,Costa Pacífica,Nariño,Tumaco,NA,"8 filetes de mojarras · 3 huevos, batidos · 3 cucharadas de harina de trigo · sal a gusto · aceite.","Se baten los huevos, agregándoles la harina y la sal, hasta que quede una masa muy líquida. Se rebozan los filetes y se fríen en aceite no muy caliente, hasta dorarlos.",1,6,8,15 minutos,15,NA,"Aborrajados de pescado Tumaco, Nariño Grado de dificultad * | Tiempo de preparación: 15 minutos | Raciones: 6 a 8 8 filetes de mojarras · 3 huevos, batidos · 3 cucharadas de harina de trigo · sal a gusto · aceite. Se baten los huevos, agregándoles la harina y la sal, hasta que quede una masa muy líquida. Se rebozan los filetes y se fríen en aceite no muy caliente, hasta dorarlos."
abrebocas-de-chontaduros,158,158,Abrebocas de chontaduros,"Valle, Cauca y Nariño",Valle,NA,NA,NA,"Frutos de la palma del mismo nombre, suelen cocinarse con un poco de aceite y huesos de res por 1 hora. Una vez blandos se dejan reposar hasta el día siguiente en el agua en que se co­cinaron. Se comen tradicionalmente pelados y partidos, con un poco de sal. Es muy común servirlos como aperitivo, partidos en casquitos, con mayonesa y limón. También se prepara una crema con un buen caldo de base, se licua, y puede servirse frío, con unas gotas de limón, o caliente, con un poco de crema de leche. Se usa tam- bién para aderezar salsas o preparar tortas dulces o saladas. En cualquier forma es muy nutritivo y, además, se aprecia mucho por su supuesto valor afrodisíaco.",2,NA,NA,1 hora,60,NA,"Abrebocas de chontaduros Va l l e Grado de dificultad ** | Tiempo de preparación: 1 hora Frutos de la palma del mismo nombre, suelen cocinarse con un poco de aceite y huesos de res por 1 hora. Una vez blandos se dejan reposar hasta el día siguiente en el agua en que se co­cinaron. Se comen tradicionalmente pelados y partidos, con un poco de sal. Es muy común servirlos como aperitivo, partidos en casquitos, con mayonesa y limón. También se prepara una crema con un buen caldo de base, se licua, y puede servirse frío, con unas gotas de limón, o caliente, con un poco de crema de leche. Se usa tam- bién para aderezar salsas o preparar tortas dulces o saladas. En cualquier forma es muy nutritivo y, además, se aprecia mucho por su supuesto valor afrodisíaco."
aceite-de-chontaduro,127,127,Aceite de chontaduro,Llanos y Amazonia,Amazonas,NA,NA,NA,"Se parten los chontaduros y se ponen a cocinar en agua por 2 horas, y se dejan en- friar un poco. El aceite flota en el agua y se va sacando con una pluma grande, que se escurre en un re­cipiente aparte. Este aceite es muy apreciado por el indígena para sus frituras.",3,NA,NA,2 horas,120,NA,"Aceite de chontaduro Amazonas Grado de dificultad *** | Tiempo de cocción: 2 horas Se parten los chontaduros y se ponen a cocinar en agua por 2 horas, y se dejan en- friar un poco. El aceite flota en el agua y se va sacando con una pluma grande, que se escurre en un re­cipiente aparte. Este aceite es muy apreciado por el indígena para sus frituras."
acelgas-o-espinacas-guisadas,296,382,Acelgas [o espinacas] guisadas,Boyacá y Cundinamarca,Bogotá,NA,NA,"2 libras (1 kg) de acelgas (o espinacas) · 3 cucharadas de man­tequilla · 3 cucharadas de queso blanco, rallado · 2 cebollas ca­bezonas peladas y picadas finas · 1 taza de leche · pizca de bicar­bonato · sal y pimienta a gusto.","Se cocinan las acelgas (o espinacas) en agua con bicarbonato por 15 minutos. Se escurren, se les quitan la vena blanca, y se pica finamente la parte verde; se añade el resto de los ingredientes y se pone a conservar en una olla tapada a fuego lento por 20 minutos. Se sirve como acompañamiento de carnes.",1,8,10,40 minutos,40,NA,"Acelgas [o espinacas] guisadas B o g o tá Grado de dificultad * | Tiempo de cocción: 40 minutos | Raciones: 8 a 10 2 libras (1 kg) de acelgas (o espinacas) · 3 cucharadas de man­tequilla · 3 cucharadas de queso blanco, rallado · 2 cebollas ca­bezonas peladas y picadas finas · 1 taza de leche · pizca de bicar­bonato · sal y pimienta a gusto. Se cocinan las acelgas (o espinacas) en agua con bicarbonato por 15 minutos. Se escurren, se les quitan la vena blanca, y se pica finamente la parte verde; se añade el resto de los ingredientes y se pone a conservar en una olla tapada a fuego lento por 20 minutos. Se sirve como acompañamiento de carnes."
achiote,199,285,Achiote,Santanderes,Santander,NA,NA,NA,"Se ponen 2 cucharadas de semilla de achiote, se trituran con una cuchara, se ponen a sofreír en una taza de manteca de cerdo (o aceite), y se revuelve para que las semillas suelten el color. Se utiliza en numerosas preparaciones, y es muy apre­ciado por su color y sabor. La semilla de achiote es utilizada por varias tribus indígenas como maquillaje, ya que cede su color con facilidad y posee propiedades repelentes para los insectos.",1,15,20,15 minutos,15,NA,"Achiote S a n ta n d e r Manteca achiotada Grado de dificultad * | Tiempo de cocción: 15 minutos | Raciones: 15 a 20 Se ponen 2 cucharadas de semilla de achiote, se trituran con una cuchara, se ponen a sofreír en una taza de manteca de cerdo (o aceite), y se revuelve para que las semillas suelten el color. Se utiliza en numerosas preparaciones, y es muy apre­ciado por su color y sabor. La semilla de achiote es utilizada por varias tribus indígenas como maquillaje, ya que cede su color con facilidad y posee propiedades repelentes para los insectos."
agua-de-panela-con-jengibre,216,302,Agua de panela con jengibre,Costa Atlántica,Sucre,NA,NA,1 litro de agua · 1 panela partida en pedazos · 2 onzas (60 gr) de jengibre rallado.,"Se cocina la panela en el agua con el jengibre, y se revuelve bien hasta que esté di- suelta. Se cuela y se sirve caliente o fría. Tam­bién se prepara sin cocinar la panela, simplemente se deja en el agua con el jengibre y se revuelve hasta que la panela se di­suelva. Se sirve fría.",1,NA,NA,15 minutos,15,NA,"Agua de panela con jengibre Sucre Grado de dificultad * | Tiempo de preparación: 15 minutos 1 litro de agua · 1 panela partida en pedazos · 2 onzas (60 gr) de jengibre rallado. Se cocina la panela en el agua con el jengibre, y se revuelve bien hasta que esté di- suelta. Se cuela y se sirve caliente o fría. Tam­bién se prepara sin cocinar la panela, simplemente se deja en el agua con el jengibre y se revuelve hasta que la panela se di­suelva. Se sirve fría."
aguacates-rellenos,42,42,Aguacates rellenos,Costa Pacífica,Valle,Buenaventura,NA,"4 aguacates grandes, maduros · 2 libras (1 kg) de camarones tigres (pequeños) · ½ taza de mayonesa · ½ taza de salsa de tomate · 4 limones (jugo) · 2 cucharadas de vinagre · 4 cebollas cabezonas, peladas y ralladas · 4 dientes de ajo, picados finos · ½ cu­charada de tomillo, molido · 1 cucharada de cilantro, picado fino · 2 huevos duros, rallados · sal y pimienta a gusto.","Se lavan muy bien los camaroncitos y se pasan por agua hir­viendo 2 minutos. Se secan, se pelan y se dejan enfriar. Se mezcla el jugo de limón, el vinagre, la cebolla, sal y pimienta, los ajos y el tomillo; se agregan los camarones, se revuelve y se deja reposar por 1 hora. Se escurren un poco y se mezclan con la mayonesa y la salsa de tomate revolviendo bien. Los aguacates se cortan en dos, se les quita la pepa y se relle­nan. Se les rocía el cilantro y el huevo. Se sirven fríos, sobre hojas de lechuga.",1,8,NA,45 minutos,45,NA,"Aguacates rellenos B u e n a v e n t u r a , Va l l e Grado de dificultad * | Tiempo de preparación: 45 minutos | Raciones: 8 4 aguacates grandes, maduros · 2 libras (1 kg) de camarones tigres (pequeños) · ½ taza de mayonesa · ½ taza de salsa de tomate · 4 limones (jugo) · 2 cucharadas de vinagre · 4 cebollas cabezonas, peladas y ralladas · 4 dientes de ajo, picados finos · ½ cu­charada de tomillo, molido · 1 cucharada de cilantro, picado fino · 2 huevos duros, rallados · sal y pimienta a gusto. Se lavan muy bien los camaroncitos y se pasan por agua hir­viendo 2 minutos. Se secan, se pelan y se dejan enfriar. Se mezcla el jugo de limón, el vinagre, la cebolla, sal y pimienta, los ajos y el tomillo; se agregan los camarones, se revuelve y se deja reposar por 1 hora. Se escurren un poco y se mezclan con la mayonesa y la salsa de tomate revolviendo bien. Los aguacates se cortan en dos, se les quita la pepa y se relle­nan. Se les rocía el cilantro y el huevo. Se sirven fríos, sobre hojas de lechuga."
aguagina,118,118,Aguagina,Llanos y Amazonia,Amazonas,NA,NA,Cananguchos (fruto de la palma del mismo nombre) · azúcar a gusto.,Se pilan los cananguchos con un poco de agua y se ciernen. La masa se revuelve con más agua y azúcar a gusto. Se toma como refresco o se cocina para hacer un masato. Tam­bién se puede dejar en una olla de barro a fermentar durante 3 días y se toma como chicha.,2,NA,NA,20 minutos en 3 días,20,3,Aguagina Amazonas Grado de dificultad ** | Tiempo de preparación: 20 minutos en 3 días Cananguchos (fruto de la palma del mismo nombre) · azúcar a gusto. Se pilan los cananguchos con un poco de agua y se ciernen. La masa se revuelve con más agua y azúcar a gusto. Se toma como refresco o se cocina para hacer un masato. Tam­bién se puede dejar en una olla de barro a fermentar durante 3 días y se toma como chicha.
